Шаг №  1 	 В момент времени:  11 	 0  ->  1 	За время 0.01 	 Вероятности [1. 0.] 
Шаг №  760 	 В момент времени:  704711 	 1  ->  1 	За время 0.573 	 Вероятности [0.8 0.2] 
Шаг №  761 	 В момент времени:  704843 	 1  ->  1 	За время 0.133 	 Вероятности [0.8 0.2] 
Шаг №  762 	 В момент времени:  704855 	 1  ->  1 	За время 0.012 	 Вероятности [0.8 0.2] 
Шаг №  763 	 В момент времени:  705355 	 1  ->  1 	За время 0.5 	 Вероятности [0.8 0.2] 
Шаг №  764 	 В момент времени:  705958 	 1  ->  1 	За время 0.603 	 Вероятности [0.8 0.2] 
Шаг №  765 	 В момент времени:  706777 	 1  ->  1 	За время 0.819 	 Вероятности [0.8 0.2] 
Шаг №  766 	 В момент времени:  707401 	 1  ->  1 	За время 0.625 	 Вероятности [0.8 0.2] 
Шаг №  767 	 В момент времени:  707933 	 1  ->  1 	За время 0.533 	 Вероятности [0.8 0.2] 
Шаг №  768 	 В момент времени:  708681 	 1  ->  1 	За время 0.749 	 Вероятности [0.8 0.2] 
Шаг №  769 	 В момент времени:  709778 	 1  ->  1 	За время 1.098 	 Вероятности [0.8 0.2] 
Шаг №  770 	 В момент времени:  709984 	 1  ->  1 	За время 0.207 	 Вероятности [0.8 0.2] 
Шаг №  771 	 В момент времени:  710634 	 1  ->  1 	За время 0.651 	 Вероятности [0.8 0.2] 
Шаг №  772 	 В момент времени:  711769 	 1  ->  1 	За время 1.136 	 Вероятности [0.8 0.2] 
Шаг №  773 	 В момент времени:  711922 	 1  ->  1 	За время 0.153 	 Вероятности [0.8 0.2] 
Шаг №  774 	 В момент времени:  712267 	 1  ->  1 	За время 0.346 	 Вероятности [0.8 0.2] 
Шаг №  775 	 В момент времени:  712585 	 1  ->  2 	За время 0.319 	 Вероятности [0.8 0.2] 
Шаг №  776 	 В момент времени:  713680 	 2  ->  2 	За время 1.096 	 Вероятности [0.5 0.5] 
Шаг №  777 	 В момент времени:  713910 	 2  ->  1 	За время 0.231 	 Вероятности [0.5 0.5] 
Шаг №  778 	 В момент времени:  715556 	 1  ->  1 	За время 1.646 	 Вероятности [0.8 0.2] 
Шаг №  779 	 В момент времени:  715755 	 1  ->  2 	За время 0.199 	 Вероятности [0.8 0.2] 
Шаг №  780 	 В момент времени:  716133 	 2  ->  1 	За время 0.379 	 Вероятности [0.5 0.5] 
Шаг №  781 	 В момент времени:  716815 	 1  ->  1 	За время 0.682 	 Вероятности [0.8 0.2] 
Шаг №  782 	 В момент времени:  717342 	 1  ->  1 	За время 0.528 	 Вероятности [0.8 0.2] 
Шаг №  783 	 В момент времени:  717758 	 1  ->  1 	За время 0.416 	 Вероятности [0.8 0.2] 
Шаг №  784 	 В момент времени:  718274 	 1  ->  1 	За время 0.516 	 Вероятности [0.8 0.2] 
Шаг №  785 	 В момент времени:  718933 	 1  ->  1 	За время 0.659 	 Вероятности [0.8 0.2] 
Шаг №  786 	 В момент времени:  719053 	 1  ->  1 	За время 0.121 	 Вероятности [0.8 0.2] 
Шаг №  787 	 В момент времени:  719210 	 1  ->  1 	За время 0.158 	 Вероятности [0.8 0.2] 
Шаг №  788 	 В момент времени:  719457 	 1  ->  1 	За время 0.247 	 Вероятности [0.8 0.2] 
Шаг №  789 	 В момент времени:  719673 	 1  ->  1 	За время 0.216 	 Вероятности [0.8 0.2] 
Шаг №  790 	 В момент времени:  723223 	 1  ->  1 	За время 3.551 	 Вероятности [0.8 0.2] 
Шаг №  791 	 В момент времени:  724101 	 1  ->  1 	За время 0.879 	 Вероятности [0.8 0.2] 
Шаг №  792 	 В момент времени:  726924 	 1  ->  1 	За время 2.824 	 Вероятности [0.8 0.2] 
Шаг №  793 	 В момент времени:  726947 	 1  ->  1 	За время 0.024 	 Вероятности [0.8 0.2] 
Шаг №  794 	 В момент времени:  727244 	 1  ->  1 	За время 0.298 	 Вероятности [0.8 0.2] 
Шаг №  795 	 В момент времени:  730283 	 1  ->  2 	За время 3.039 	 Вероятности [0.8 0.2] 
Шаг №  796 	 В момент времени:  731084 	 2  ->  2 	За время 0.801 	 Вероятности [0.5 0.5] 
Шаг №  797 	 В момент времени:  731099 	 2  ->  1 	За время 0.015 	 Вероятности [0.5 0.5] 
Шаг №  798 	 В момент времени:  731723 	 1  ->  1 	За время 0.625 	 Вероятности [0.8 0.2] 
Шаг №  799 	 В момент времени:  732788 	 1  ->  1 	За время 1.066 	 Вероятности [0.8 0.2] 
Шаг №  800 	 В момент времени:  732801 	 1  ->  1 	За время 0.014 	 Вероятности [0.8 0.2] 
Шаг №  801 	 В момент времени:  732916 	 1  ->  1 	За время 0.115 	 Вероятности [0.8 0.2] 
Шаг №  802 	 В момент времени:  733277 	 1  ->  1 	За время 0.361 	 Вероятности [0.8 0.2] 
Шаг №  803 	 В момент времени:  737561 	 1  ->  2 	За время 4.284 	 Вероятности [0.8 0.2] 
Шаг №  804 	 В момент времени:  737590 	 2  ->  1 	За время 0.03 	 Вероятности [0.5 0.5] 
Шаг №  805 	 В момент времени:  739288 	 1  ->  1 	За время 1.698 	 Вероятности [0.8 0.2] 
Шаг №  806 	 В момент времени:  742199 	 1  ->  2 	За время 2.912 	 Вероятности [0.8 0.2] 
Шаг №  807 	 В момент времени:  742911 	 2  ->  1 	За время 0.712 	 Вероятности [0.5 0.5] 
Шаг №  808 	 В момент времени:  744616 	 1  ->  2 	За время 1.705 	 Вероятности [0.8 0.2] 
Шаг №  809 	 В момент времени:  745623 	 2  ->  1 	За время 1.007 	 Вероятности [0.5 0.5] 
Шаг №  810 	 В момент времени:  746428 	 1  ->  1 	За время 0.805 	 Вероятности [0.8 0.2] 
Шаг №  811 	 В момент времени:  747519 	 1  ->  1 	За время 1.092 	 Вероятности [0.8 0.2] 
Шаг №  812 	 В момент времени:  748092 	 1  ->  1 	За время 0.574 	 Вероятности [0.8 0.2] 
Шаг №  813 	 В момент времени:  748431 	 1  ->  2 	За время 0.339 	 Вероятности [0.8 0.2] 
Шаг №  814 	 В момент времени:  749892 	 2  ->  2 	За время 1.461 	 Вероятности [0.5 0.5] 
Шаг №  815 	 В момент времени:  750810 	 2  ->  1 	За время 0.918 	 Вероятности [0.5 0.5] 
Шаг №  816 	 В момент времени:  750838 	 1  ->  2 	За время 0.028 	 Вероятности [0.8 0.2] 
Шаг №  817 	 В момент времени:  750913 	 2  ->  1 	За время 0.075 	 Вероятности [0.5 0.5] 
Шаг №  818 	 В момент времени:  752669 	 1  ->  1 	За время 1.757 	 Вероятности [0.8 0.2] 
Шаг №  819 	 В момент времени:  754917 	 1  ->  2 	За время 2.249 	 Вероятности [0.8 0.2] 
Шаг №  820 	 В момент времени:  755770 	 2  ->  2 	За время 0.853 	 Вероятности [0.5 0.5] 
Шаг №  821 	 В момент времени:  756382 	 2  ->  2 	За время 0.613 	 Вероятности [0.5 0.5] 
Шаг №  822 	 В момент времени:  756392 	 2  ->  2 	За время 0.011 	 Вероятности [0.5 0.5] 
Шаг №  823 	 В момент времени:  757591 	 2  ->  1 	За время 1.199 	 Вероятности [0.5 0.5] 
Шаг №  824 	 В момент времени:  758278 	 1  ->  1 	За время 0.688 	 Вероятности [0.8 0.2] 
Шаг №  825 	 В момент времени:  758806 	 1  ->  2 	За время 0.529 	 Вероятности [0.8 0.2] 
Шаг №  826 	 В момент времени:  759316 	 2  ->  1 	За время 0.511 	 Вероятности [0.5 0.5] 
Шаг №  827 	 В момент времени:  759838 	 1  ->  2 	За время 0.522 	 Вероятности [0.8 0.2] 
Шаг №  828 	 В момент времени:  762108 	 2  ->  2 	За время 2.27 	 Вероятности [0.5 0.5] 
Шаг №  829 	 В момент времени:  764848 	 2  ->  1 	За время 2.74 	 Вероятности [0.5 0.5] 
Шаг №  830 	 В момент времени:  764901 	 1  ->  1 	За время 0.053 	 Вероятности [0.8 0.2] 
Шаг №  831 	 В момент времени:  767300 	 1  ->  1 	За время 2.4 	 Вероятности [0.8 0.2] 
Шаг №  832 	 В момент времени:  769098 	 1  ->  1 	За время 1.799 	 Вероятности [0.8 0.2] 
Шаг №  833 	 В момент времени:  769639 	 1  ->  1 	За время 0.541 	 Вероятности [0.8 0.2] 
Шаг №  834 	 В момент времени:  774351 	 1  ->  1 	За время 4.713 	 Вероятности [0.8 0.2] 
Шаг №  835 	 В момент времени:  774870 	 1  ->  1 	За время 0.52 	 Вероятности [0.8 0.2] 
Шаг №  836 	 В момент времени:  775509 	 1  ->  1 	За время 0.639 	 Вероятности [0.8 0.2] 
Шаг №  837 	 В момент времени:  775510 	 1  ->  1 	За время 0.002 	 Вероятности [0.8 0.2] 
Шаг №  838 	 В момент времени:  775607 	 1  ->  1 	За время 0.097 	 Вероятности [0.8 0.2] 
Шаг №  839 	 В момент времени:  776910 	 1  ->  1 	За время 1.303 	 Вероятности [0.8 0.2] 
Шаг №  840 	 В момент времени:  777507 	 1  ->  1 	За время 0.598 	 Вероятности [0.8 0.2] 
Шаг №  841 	 В момент времени:  777553 	 1  ->  1 	За время 0.047 	 Вероятности [0.8 0.2] 
Шаг №  842 	 В момент времени:  781314 	 1  ->  2 	За время 3.761 	 Вероятности [0.8 0.2] 
Шаг №  843 	 В момент времени:  781531 	 2  ->  2 	За время 0.217 	 Вероятности [0.5 0.5] 
Шаг №  844 	 В момент времени:  782123 	 2  ->  1 	За время 0.592 	 Вероятности [0.5 0.5] 
Шаг №  845 	 В момент времени:  783840 	 1  ->  1 	За время 1.718 	 Вероятности [0.8 0.2] 
Шаг №  846 	 В момент времени:  784136 	 1  ->  1 	За время 0.297 	 Вероятности [0.8 0.2] 
Шаг №  847 	 В момент времени:  785621 	 1  ->  1 	За время 1.485 	 Вероятности [0.8 0.2] 
Шаг №  848 	 В момент времени:  785967 	 1  ->  1 	За время 0.346 	 Вероятности [0.8 0.2] 
Шаг №  849 	 В момент времени:  788069 	 1  ->  1 	За время 2.102 	 Вероятности [0.8 0.2] 
Шаг №  850 	 В момент времени:  794920 	 1  ->  1 	За время 6.851 	 Вероятности [0.8 0.2] 
Шаг №  851 	 В момент времени:  794933 	 1  ->  1 	За время 0.014 	 Вероятности [0.8 0.2] 
Шаг №  852 	 В момент времени:  798247 	 1  ->  1 	За время 3.314 	 Вероятности [0.8 0.2] 
Шаг №  853 	 В момент времени:  798694 	 1  ->  1 	За время 0.447 	 Вероятности [0.8 0.2] 
Шаг №  854 	 В момент времени:  798701 	 1  ->  1 	За время 0.007 	 Вероятности [0.8 0.2] 
Шаг №  855 	 В момент времени:  798770 	 1  ->  1 	За время 0.07 	 Вероятности [0.8 0.2] 
Шаг №  856 	 В момент времени:  799468 	 1  ->  1 	За время 0.699 	 Вероятности [0.8 0.2] 
Шаг №  857 	 В момент времени:  799831 	 1  ->  1 	За время 0.363 	 Вероятности [0.8 0.2] 
Шаг №  858 	 В момент времени:  800146 	 1  ->  1 	За время 0.315 	 Вероятности [0.8 0.2] 
Шаг №  859 	 В момент времени:  801015 	 1  ->  1 	За время 0.869 	 Вероятности [0.8 0.2] 
Шаг №  860 	 В момент времени:  802385 	 1  ->  1 	За время 1.371 	 Вероятности [0.8 0.2] 
Шаг №  861 	 В момент времени:  804219 	 1  ->  1 	За время 1.834 	 Вероятности [0.8 0.2] 
Шаг №  862 	 В момент времени:  805544 	 1  ->  1 	За время 1.326 	 Вероятности [0.8 0.2] 
Шаг №  863 	 В момент времени:  805692 	 1  ->  1 	За время 0.149 	 Вероятности [0.8 0.2] 
Шаг №  864 	 В момент времени:  805813 	 1  ->  1 	За время 0.121 	 Вероятности [0.8 0.2] 
Шаг №  865 	 В момент времени:  806257 	 1  ->  1 	За время 0.445 	 Вероятности [0.8 0.2] 
Шаг №  866 	 В момент времени:  806790 	 1  ->  1 	За время 0.533 	 Вероятности [0.8 0.2] 
Шаг №  867 	 В момент времени:  807048 	 1  ->  1 	За время 0.259 	 Вероятности [0.8 0.2] 
Шаг №  868 	 В момент времени:  807250 	 1  ->  1 	За время 0.203 	 Вероятности [0.8 0.2] 
Шаг №  869 	 В момент времени:  808984 	 1  ->  1 	За время 1.734 	 Вероятности [0.8 0.2] 
Шаг №  870 	 В момент времени:  811336 	 1  ->  1 	За время 2.352 	 Вероятности [0.8 0.2] 
Шаг №  871 	 В момент времени:  812371 	 1  ->  1 	За время 1.036 	 Вероятности [0.8 0.2] 
Шаг №  872 	 В момент времени:  812826 	 1  ->  2 	За время 0.456 	 Вероятности [0.8 0.2] 
Шаг №  873 	 В момент времени:  812897 	 2  ->  1 	За время 0.072 	 Вероятности [0.5 0.5] 
Шаг №  874 	 В момент времени:  813204 	 1  ->  1 	За время 0.307 	 Вероятности [0.8 0.2] 
Шаг №  875 	 В момент времени:  814589 	 1  ->  1 	За время 1.386 	 Вероятности [0.8 0.2] 
Шаг №  876 	 В момент времени:  818201 	 1  ->  2 	За время 3.613 	 Вероятности [0.8 0.2] 
Шаг №  877 	 В момент времени:  819379 	 2  ->  1 	За время 1.178 	 Вероятности [0.5 0.5] 
Шаг №  878 	 В момент времени:  819975 	 1  ->  1 	За время 0.596 	 Вероятности [0.8 0.2] 
Шаг №  879 	 В момент времени:  820295 	 1  ->  1 	За время 0.321 	 Вероятности [0.8 0.2] 
Шаг №  880 	 В момент времени:  822521 	 1  ->  1 	За время 2.227 	 Вероятности [0.8 0.2] 
Шаг №  881 	 В момент времени:  823020 	 1  ->  2 	За время 0.499 	 Вероятности [0.8 0.2] 
Шаг №  882 	 В момент времени:  823096 	 2  ->  2 	За время 0.076 	 Вероятности [0.5 0.5] 
Шаг №  883 	 В момент времени:  823712 	 2  ->  2 	За время 0.617 	 Вероятности [0.5 0.5] 
Шаг №  884 	 В момент времени:  824445 	 2  ->  2 	За время 0.733 	 Вероятности [0.5 0.5] 
Шаг №  885 	 В момент времени:  824663 	 2  ->  1 	За время 0.218 	 Вероятности [0.5 0.5] 
Шаг №  886 	 В момент времени:  828583 	 1  ->  1 	За время 3.92 	 Вероятности [0.8 0.2] 
Шаг №  887 	 В момент времени:  830294 	 1  ->  1 	За время 1.711 	 Вероятности [0.8 0.2] 
Шаг №  888 	 В момент времени:  830852 	 1  ->  2 	За время 0.558 	 Вероятности [0.8 0.2] 
Шаг №  889 	 В момент времени:  831610 	 2  ->  1 	За время 0.758 	 Вероятности [0.5 0.5] 
Шаг №  890 	 В момент времени:  832934 	 1  ->  1 	За время 1.325 	 Вероятности [0.8 0.2] 
Шаг №  891 	 В момент времени:  834428 	 1  ->  1 	За время 1.494 	 Вероятности [0.8 0.2] 
Шаг №  892 	 В момент времени:  836534 	 1  ->  1 	За время 2.107 	 Вероятности [0.8 0.2] 
Шаг №  893 	 В момент времени:  837507 	 1  ->  2 	За время 0.973 	 Вероятности [0.8 0.2] 
Шаг №  894 	 В момент времени:  838442 	 2  ->  2 	За время 0.935 	 Вероятности [0.5 0.5] 
Шаг №  895 	 В момент времени:  838793 	 2  ->  1 	За время 0.351 	 Вероятности [0.5 0.5] 
Шаг №  896 	 В момент времени:  839156 	 1  ->  1 	За время 0.363 	 Вероятности [0.8 0.2] 
Шаг №  897 	 В момент времени:  839901 	 1  ->  1 	За время 0.746 	 Вероятности [0.8 0.2] 
Шаг №  898 	 В момент времени:  842917 	 1  ->  1 	За время 3.017 	 Вероятности [0.8 0.2] 
Шаг №  899 	 В момент времени:  843840 	 1  ->  1 	За время 0.923 	 Вероятности [0.8 0.2] 
Шаг №  900 	 В момент времени:  845450 	 1  ->  1 	За время 1.611 	 Вероятности [0.8 0.2] 
Шаг №  901 	 В момент времени:  846196 	 1  ->  1 	За время 0.746 	 Вероятности [0.8 0.2] 
Шаг №  902 	 В момент времени:  846722 	 1  ->  2 	За время 0.527 	 Вероятности [0.8 0.2] 
Шаг №  903 	 В момент времени:  847469 	 2  ->  2 	За время 0.747 	 Вероятности [0.5 0.5] 
Шаг №  904 	 В момент времени:  847571 	 2  ->  2 	За время 0.103 	 Вероятности [0.5 0.5] 
Шаг №  905 	 В момент времени:  847664 	 2  ->  2 	За время 0.093 	 Вероятности [0.5 0.5] 
Шаг №  906 	 В момент времени:  849288 	 2  ->  2 	За время 1.624 	 Вероятности [0.5 0.5] 
Шаг №  907 	 В момент времени:  849830 	 2  ->  1 	За время 0.543 	 Вероятности [0.5 0.5] 
Шаг №  908 	 В момент времени:  851110 	 1  ->  1 	За время 1.28 	 Вероятности [0.8 0.2] 
Шаг №  909 	 В момент времени:  851673 	 1  ->  1 	За время 0.563 	 Вероятности [0.8 0.2] 
Шаг №  910 	 В момент времени:  852576 	 1  ->  1 	За время 0.904 	 Вероятности [0.8 0.2] 
Шаг №  911 	 В момент времени:  852937 	 1  ->  1 	За время 0.362 	 Вероятности [0.8 0.2] 
Шаг №  912 	 В момент времени:  854500 	 1  ->  1 	За время 1.563 	 Вероятности [0.8 0.2] 
Шаг №  913 	 В момент времени:  856982 	 1  ->  2 	За время 2.483 	 Вероятности [0.8 0.2] 
Шаг №  914 	 В момент времени:  857641 	 2  ->  2 	За время 0.659 	 Вероятности [0.5 0.5] 
Шаг №  915 	 В момент времени:  858158 	 2  ->  1 	За время 0.517 	 Вероятности [0.5 0.5] 
Шаг №  916 	 В момент времени:  858818 	 1  ->  1 	За время 0.66 	 Вероятности [0.8 0.2] 
Шаг №  917 	 В момент времени:  859011 	 1  ->  2 	За время 0.194 	 Вероятности [0.8 0.2] 
Шаг №  918 	 В момент времени:  861444 	 2  ->  1 	За время 2.434 	 Вероятности [0.5 0.5] 
Шаг №  919 	 В момент времени:  862803 	 1  ->  1 	За время 1.359 	 Вероятности [0.8 0.2] 
Шаг №  920 	 В момент времени:  863039 	 1  ->  2 	За время 0.236 	 Вероятности [0.8 0.2] 
Шаг №  921 	 В момент времени:  863907 	 2  ->  2 	За время 0.869 	 Вероятности [0.5 0.5] 
Шаг №  922 	 В момент времени:  865471 	 2  ->  1 	За время 1.564 	 Вероятности [0.5 0.5] 
Шаг №  923 	 В момент времени:  865637 	 1  ->  1 	За время 0.167 	 Вероятности [0.8 0.2] 
Шаг №  924 	 В момент времени:  865807 	 1  ->  1 	За время 0.17 	 Вероятности [0.8 0.2] 
Шаг №  925 	 В момент времени:  866151 	 1  ->  2 	За время 0.345 	 Вероятности [0.8 0.2] 
Шаг №  926 	 В момент времени:  867125 	 2  ->  1 	За время 0.974 	 Вероятности [0.5 0.5] 
Шаг №  927 	 В момент времени:  867391 	 1  ->  1 	За время 0.267 	 Вероятности [0.8 0.2] 
Шаг №  928 	 В момент времени:  867774 	 1  ->  2 	За время 0.383 	 Вероятности [0.8 0.2] 
Шаг №  929 	 В момент времени:  868495 	 2  ->  2 	За время 0.721 	 Вероятности [0.5 0.5] 
Шаг №  930 	 В момент времени:  868738 	 2  ->  2 	За время 0.243 	 Вероятности [0.5 0.5] 
Шаг №  931 	 В момент времени:  869545 	 2  ->  1 	За время 0.807 	 Вероятности [0.5 0.5] 
Шаг №  932 	 В момент времени:  871624 	 1  ->  1 	За время 2.079 	 Вероятности [0.8 0.2] 
Шаг №  933 	 В момент времени:  872975 	 1  ->  1 	За время 1.352 	 Вероятности [0.8 0.2] 
Шаг №  934 	 В момент времени:  873553 	 1  ->  2 	За время 0.578 	 Вероятности [0.8 0.2] 
Шаг №  935 	 В момент времени:  877078 	 2  ->  2 	За время 3.525 	 Вероятности [0.5 0.5] 
Шаг №  936 	 В момент времени:  878364 	 2  ->  2 	За время 1.286 	 Вероятности [0.5 0.5] 
Шаг №  937 	 В момент времени:  879214 	 2  ->  2 	За время 0.85 	 Вероятности [0.5 0.5] 
Шаг №  938 	 В момент времени:  881040 	 2  ->  1 	За время 1.827 	 Вероятности [0.5 0.5] 
Шаг №  939 	 В момент времени:  881132 	 1  ->  1 	За время 0.093 	 Вероятности [0.8 0.2] 
Шаг №  940 	 В момент времени:  881912 	 1  ->  1 	За время 0.781 	 Вероятности [0.8 0.2] 
Шаг №  941 	 В момент времени:  884870 	 1  ->  1 	За время 2.958 	 Вероятности [0.8 0.2] 
Шаг №  942 	 В момент времени:  885248 	 1  ->  1 	За время 0.378 	 Вероятности [0.8 0.2] 
Шаг №  943 	 В момент времени:  885545 	 1  ->  2 	За время 0.298 	 Вероятности [0.8 0.2] 
Шаг №  944 	 В момент времени:  886184 	 2  ->  2 	За время 0.639 	 Вероятности [0.5 0.5] 
Шаг №  945 	 В момент времени:  887766 	 2  ->  1 	За время 1.583 	 Вероятности [0.5 0.5] 
Шаг №  946 	 В момент времени:  889192 	 1  ->  1 	За время 1.426 	 Вероятности [0.8 0.2] 
Шаг №  947 	 В момент времени:  891057 	 1  ->  2 	За время 1.865 	 Вероятности [0.8 0.2] 
Шаг №  948 	 В момент времени:  893672 	 2  ->  1 	За время 2.616 	 Вероятности [0.5 0.5] 
Шаг №  949 	 В момент времени:  894493 	 1  ->  1 	За время 0.821 	 Вероятности [0.8 0.2] 
Шаг №  950 	 В момент времени:  894919 	 1  ->  1 	За время 0.427 	 Вероятности [0.8 0.2] 
Шаг №  951 	 В момент времени:  895006 	 1  ->  1 	За время 0.087 	 Вероятности [0.8 0.2] 
Шаг №  952 	 В момент времени:  895225 	 1  ->  1 	За время 0.219 	 Вероятности [0.8 0.2] 
Шаг №  953 	 В момент времени:  895938 	 1  ->  2 	За время 0.714 	 Вероятности [0.8 0.2] 
Шаг №  954 	 В момент времени:  896934 	 2  ->  1 	За время 0.997 	 Вероятности [0.5 0.5] 
Шаг №  955 	 В момент времени:  904825 	 1  ->  2 	За время 7.891 	 Вероятности [0.8 0.2] 
Шаг №  956 	 В момент времени:  905268 	 2  ->  1 	За время 0.443 	 Вероятности [0.5 0.5] 
Шаг №  957 	 В момент времени:  906172 	 1  ->  1 	За время 0.904 	 Вероятности [0.8 0.2] 
Шаг №  958 	 В момент времени:  907333 	 1  ->  1 	За время 1.162 	 Вероятности [0.8 0.2] 
Шаг №  959 	 В момент времени:  909269 	 1  ->  1 	За время 1.937 	 Вероятности [0.8 0.2] 
Шаг №  960 	 В момент времени:  909668 	 1  ->  1 	За время 0.4 	 Вероятности [0.8 0.2] 
Шаг №  961 	 В момент времени:  909866 	 1  ->  1 	За время 0.198 	 Вероятности [0.8 0.2] 
Шаг №  962 	 В момент времени:  909933 	 1  ->  1 	За время 0.067 	 Вероятности [0.8 0.2] 
Шаг №  963 	 В момент времени:  910178 	 1  ->  1 	За время 0.246 	 Вероятности [0.8 0.2] 
Шаг №  964 	 В момент времени:  914364 	 1  ->  1 	За время 4.186 	 Вероятности [0.8 0.2] 
Шаг №  965 	 В момент времени:  917681 	 1  ->  1 	За время 3.317 	 Вероятности [0.8 0.2] 
Шаг №  966 	 В момент времени:  918234 	 1  ->  2 	За время 0.554 	 Вероятности [0.8 0.2] 
Шаг №  967 	 В момент времени:  918658 	 2  ->  2 	За время 0.424 	 Вероятности [0.5 0.5] 
Шаг №  968 	 В момент времени:  919088 	 2  ->  2 	За время 0.431 	 Вероятности [0.5 0.5] 
Шаг №  969 	 В момент времени:  921524 	 2  ->  2 	За время 2.436 	 Вероятности [0.5 0.5] 
Шаг №  970 	 В момент времени:  922406 	 2  ->  1 	За время 0.883 	 Вероятности [0.5 0.5] 
Шаг №  971 	 В момент времени:  925157 	 1  ->  2 	За время 2.752 	 Вероятности [0.8 0.2] 
Шаг №  972 	 В момент времени:  925486 	 2  ->  2 	За время 0.329 	 Вероятности [0.5 0.5] 
Шаг №  973 	 В момент времени:  927814 	 2  ->  2 	За время 2.328 	 Вероятности [0.5 0.5] 
Шаг №  974 	 В момент времени:  928692 	 2  ->  1 	За время 0.879 	 Вероятности [0.5 0.5] 
Шаг №  975 	 В момент времени:  929487 	 1  ->  1 	За время 0.796 	 Вероятности [0.8 0.2] 
Шаг №  976 	 В момент времени:  930681 	 1  ->  1 	За время 1.195 	 Вероятности [0.8 0.2] 
Шаг №  977 	 В момент времени:  931036 	 1  ->  2 	За время 0.355 	 Вероятности [0.8 0.2] 
Шаг №  978 	 В момент времени:  933957 	 2  ->  1 	За время 2.921 	 Вероятности [0.5 0.5] 
Шаг №  979 	 В момент времени:  936248 	 1  ->  1 	За время 2.291 	 Вероятности [0.8 0.2] 
Шаг №  980 	 В момент времени:  936605 	 1  ->  1 	За время 0.358 	 Вероятности [0.8 0.2] 
Шаг №  981 	 В момент времени:  937128 	 1  ->  2 	За время 0.523 	 Вероятности [0.8 0.2] 
Шаг №  982 	 В момент времени:  937892 	 2  ->  2 	За время 0.765 	 Вероятности [0.5 0.5] 
Шаг №  983 	 В момент времени:  938360 	 2  ->  1 	За время 0.469 	 Вероятности [0.5 0.5] 
Шаг №  984 	 В момент времени:  938388 	 1  ->  1 	За время 0.029 	 Вероятности [0.8 0.2] 
Шаг №  985 	 В момент времени:  938554 	 1  ->  2 	За время 0.167 	 Вероятности [0.8 0.2] 
Шаг №  986 	 В момент времени:  939020 	 2  ->  1 	За время 0.466 	 Вероятности [0.5 0.5] 
Шаг №  987 	 В момент времени:  939794 	 1  ->  1 	За время 0.774 	 Вероятности [0.8 0.2] 
Шаг №  988 	 В момент времени:  939954 	 1  ->  1 	За время 0.161 	 Вероятности [0.8 0.2] 
Шаг №  989 	 В момент времени:  941710 	 1  ->  1 	За время 1.757 	 Вероятности [0.8 0.2] 
Шаг №  990 	 В момент времени:  942024 	 1  ->  1 	За время 0.314 	 Вероятности [0.8 0.2] 
Шаг №  991 	 В момент времени:  943688 	 1  ->  1 	За время 1.664 	 Вероятности [0.8 0.2] 
Шаг №  992 	 В момент времени:  944729 	 1  ->  1 	За время 1.042 	 Вероятности [0.8 0.2] 
Шаг №  993 	 В момент времени:  945917 	 1  ->  1 	За время 1.188 	 Вероятности [0.8 0.2] 
Шаг №  994 	 В момент времени:  946951 	 1  ->  1 	За время 1.034 	 Вероятности [0.8 0.2] 
Шаг №  995 	 В момент времени:  947983 	 1  ->  1 	За время 1.033 	 Вероятности [0.8 0.2] 
Шаг №  996 	 В момент времени:  948543 	 1  ->  1 	За время 0.56 	 Вероятности [0.8 0.2] 
Шаг №  997 	 В момент времени:  950016 	 1  ->  1 	За время 1.474 	 Вероятности [0.8 0.2] 
Шаг №  998 	 В момент времени:  951483 	 1  ->  2 	За время 1.468 	 Вероятности [0.8 0.2] 
Шаг №  999 	 В момент времени:  953490 	 2  ->  1 	За время 2.007 	 Вероятности [0.5 0.5] 
Шаг №  1000 	 В момент времени:  956542 	 1  ->  1 	За время 3.052 	 Вероятности [0.8 0.2] 
Шаг №  1001 	 В момент времени:  957977 	 1  ->  1 	За время 1.435 	 Вероятности [0.8 0.2] 
Шаг №  1002 	 В момент времени:  958308 	 1  ->  2 	За время 0.332 	 Вероятности [0.8 0.2] 
Шаг №  1003 	 В момент времени:  958392 	 2  ->  1 	За время 0.084 	 Вероятности [0.5 0.5] 
Шаг №  1004 	 В момент времени:  959404 	 1  ->  1 	За время 1.013 	 Вероятности [0.8 0.2] 
Шаг №  1005 	 В момент времени:  963488 	 1  ->  1 	За время 4.084 	 Вероятности [0.8 0.2] 
Шаг №  1006 	 В момент времени:  963828 	 1  ->  1 	За время 0.34 	 Вероятности [0.8 0.2] 
Шаг №  1007 	 В момент времени:  964109 	 1  ->  2 	За время 0.282 	 Вероятности [0.8 0.2] 
Шаг №  1008 	 В момент времени:  965204 	 2  ->  1 	За время 1.095 	 Вероятности [0.5 0.5] 
Шаг №  1009 	 В момент времени:  967459 	 1  ->  1 	За время 2.255 	 Вероятности [0.8 0.2] 
Шаг №  1010 	 В момент времени:  967521 	 1  ->  1 	За время 0.062 	 Вероятности [0.8 0.2] 
Шаг №  1011 	 В момент времени:  968630 	 1  ->  1 	За время 1.109 	 Вероятности [0.8 0.2] 
Шаг №  1012 	 В момент времени:  968674 	 1  ->  1 	За время 0.044 	 Вероятности [0.8 0.2] 
